固相見かけ流速,気相見かけ流速,液相見かけ流速,固相体積率,気相体積率,液相体積率,ガラス球直径,NAME,FullPath,mean,var
0.499187501,45.71988054,5.850882905,0.015110053,0.727248241,0.257641706,0.0025,P20240828-1414,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1414_processed.npz,,
0.465407895,45.20977406,6.057837477,0.01170449,0.68360796,0.304687551,0.0025,P20240828-1427,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1427_processed.npz,,
0.157638158,45.34407771,4.561709634,0.004552125,0.778161903,0.217285972,0.0025,P20240828-1445,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1445_processed.npz,,
0.101338816,61.63290194,3.288795383,0.007363933,0.842713152,0.149922915,0.0025,P20240828-1000,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1000_processed.npz,,
0.101338816,46.35140495,3.256325718,0.002770859,0.877261708,0.119967433,0.0025,P20240829-1557,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240829-1557_processed.npz,,
0.105092105,46.27751322,3.268849414,0.004818291,0.815437976,0.179743732,0.0025,P20240829-1547,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240829-1547_processed.npz,,
0.332791667,44.12982083,4.583744664,0.01487801,0.765433487,0.219688502,0.0025,P20240829-1525,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240829-1525_processed.npz,,
0.376580044,43.44915488,4.530462368,0.008530969,0.815437976,0.176031054,0.0025,P20240829-1451,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240829-1451_processed.npz,,
0.395346492,43.36289492,4.524297225,0.015901727,0.799982043,0.18411623,0.0025,P20240829-1440,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240829-1440_processed.npz,,
0.180157895,43.55842631,4.536944993,0.004340557,0.802709561,0.192949882,0.0025,P20240829-1335,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240829-1335_processed.npz,,
0.185162281,44.23601213,4.427380003,0.005541718,0.801800389,0.192657894,0.0025,P20240829-1323,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240829-1323_processed.npz,,
